source_file,model,segment_id,maxcpu,avgcpu,p95maxcpu,vmcorecountbucket,vmmemorybucket,lifetime,corehour,allocated_gpu_hour,avg_power_W,measured_energy_Wh,power_saving_index
unlabeled_gpu_trace1.csv,unlabeled,1,47.0,35.00353610968835,43.0,1,4,2.9545116666290494,1.0341835580934542,2.9545116666290494,61.66988583980162,182.2043971933755,118.42641522835233
unlabeled_gpu_trace1.csv,unlabeled,2,49.0,35.24296718017415,43.0,1,4,2.9507947222391766,1.039947615513064,2.9507947222391766,61.76707773531415,182.26196698950196,118.02744178145194
unlabeled_gpu_trace1.csv,unlabeled,3,50.0,35.371508214806354,44.0,1,4,2.950247777832879,1.0435471350932988,2.950247777832879,61.90691511366852,182.64073874658922,118.03795483725642
unlabeled_gpu_trace1.csv,unlabeled,4,49.0,34.90635711752886,44.0,1,4,2.9535963888963064,1.0309929033185812,2.9535963888963064,61.56156160119813,181.82800604011632,118.35847291207136
unlabeled_gpu_trace2.csv,unlabeled,0,29.0,0.016009635156571295,0.0,2,4,0.5233544444375567,0.00016757427426030696,1.0467088888751135,31.689746195881533,33.169939029425514,16.582314321602624
unlabeled_gpu_trace2.csv,unlabeled,1,29.0,0.010545796369190999,0.0,2,4,0.526027222275734,0.00011094751941542123,1.052054444551468,29.745226778681168,31.293598036702864,15.64514893878866
unlabeled_gpu_trace2.csv,unlabeled,2,30.0,0.03181364197168204,0.0,2,4,0.5235233333375718,0.00033310367781246123,1.0470466666751437,30.884156042533693,32.3371526374099,16.163432505723
unlabeled_gpu_trace2.csv,unlabeled,3,29.0,0.011398020034664082,0.0,2,4,0.530832499994172,0.00012100878939968789,1.061664999988344,26.911513175288903,28.571011634929413,14.28387755264958
unlabeled_gpu_trace2.csv,unlabeled,4,29.0,0.010105461061660938,0.0,2,4,0.5331175000137753,0.00010774796275358463,1.0662350000275507,25.517191034341014,27.20732218320361,13.602286378927232
unlabeled_gpu_trace3.csv,unlabeled,0,90.0,87.69351166761525,90.0,1,4,0.10359027776453231,0.0908419523179552,0.10359027776453231,127.11946499715411,13.168340688333936,1.6205603103784891
unlabeled_gpu_trace3.csv,unlabeled,1,90.0,87.93056346044393,90.0,1,4,0.10112249996927049,0.08891758400826678,0.10112249996927049,127.44758110415493,12.887818016288506,1.5554870168094148
unlabeled_gpu_trace3.csv,unlabeled,2,90.0,87.92997438087104,90.0,1,4,0.10188722219732073,0.08958940837548526,0.10188722219732073,127.46074295473923,12.986621038865099,1.5674884864502083
unlabeled_gpu_trace3.csv,unlabeled,3,90.0,87.92598918303445,90.0,1,4,0.10376250002119276,0.09123420454468006,0.10376250002119276,127.30321662396845,13.209300017642434,1.59489231297558
unlabeled_gpu_trace3.csv,unlabeled,4,90.0,87.89638485624822,90.0,1,4,0.10415861109892527,0.09155165367243423,0.10415861109892527,127.23808995160826,13.252942728239637,1.6040851830479628
unlabeled_gpu_trace4.csv,unlabeled,0,87.0,34.1231565522109,66.0,1,4,2.31576111111376,0.790210789320567,2.31576111111376,77.07831622481781,178.49496722356187,117.58685012004833
unlabeled_gpu_trace4.csv,unlabeled,1,69.0,34.640002971805,67.0,1,4,2.3158066666788524,0.8021954981588127,2.3158066666788524,78.17579786772956,181.04003387502652,118.32776076056055
unlabeled_gpu_trace4.csv,unlabeled,2,71.0,36.04751173243849,67.0,1,4,2.3155641667048137,0.8347032646650593,2.3155641667048137,79.4875700541119,184.05856891574012,117.71003469128033
unlabeled_gpu_trace4.csv,unlabeled,3,71.0,38.36917704747517,67.0,1,4,2.315571666691038,0.8884657924538562,2.315571666691038,82.79546088312952,191.7188233516009,118.15788858648898
unlabeled_gpu_trace4.csv,unlabeled,4,71.0,36.476992991406426,67.0,1,4,2.31559611108568,0.8446598311500033,2.31559611108568,80.47364521161994,186.34445989691588,118.37160432044371
