S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.1,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,70.5823977301914,0.25262413364697756,0.030354149060639785,0.458,0.706,258132.3617144594
20,0.1,1.0,1.0,deterministic,0.1,oracle,10,95.66612438491792,0.2508982017836559,0.030695649587375688,0.8880000000000001,0.9640000000000001,43139.97783702503
20,0.1,1.0,1.0,deterministic,0.1,state_thompson,10,55.20901041729837,0.24894308031640827,0.030656642636171884,0.31800000000000006,0.5740000000000001,406660.74142627313
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_dense,10,59.86334457592011,0.25098541065846625,0.03001104847363763,0.392,0.5810000000000001,372261.0927141026
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,58.84428587530154,0.17473383331830938,0.02233352244976717,0.40499999999999997,0.6829999999999999,378063.20101283916
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_offline,10,58.014664009402736,0.17344809401953226,0.022003716942727663,0.40099999999999997,0.6380000000000001,375448.6370104583
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,81.39588374071424,0.254619992228598,0.0316512714619348,0.524,0.775,185697.1399381988
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,77.59488947975538,0.17367836199771575,0.022308668994176925,0.518,0.8,214952.12957620932
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,79.19893517365765,0.17452683311737843,0.022353322441780947,0.5189999999999999,0.748,197376.38433127297
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,80.51858880033532,0.09080971217411964,0.0035710690195052464,0.517,0.787,181329.00603017086
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,56.23529430116808,0.08975928212848079,0.003913628828797698,0.369,0.6089999999999999,377150.79002678196
20,0.1,1.0,1.0,deterministic,0.1,tw_dense,10,56.44100014558546,0.2502724067924624,0.029741109065288807,0.37899999999999995,0.625,403195.80440356897
20,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline,10,65.69358945610949,0.17508079516474445,0.022453988563568554,0.457,0.716,319095.3893254242
20,0.1,1.0,1.0,deterministic,0.1,tw_offline,10,60.84181788591587,0.1744457366368011,0.021891878374739597,0.41899999999999993,0.64,365726.8796860168
20,0.1,1.0,1.0,deterministic,0.1,tw_support_offline,10,64.42649442281638,0.09191959465891686,0.003713705908891367,0.406,0.6479999999999999,320536.5543187962
20,0.2,1.0,1.0,deterministic,0.1,exp4_dense,10,74.47017106742695,0.27149282585350903,0.035682686769562655,0.454,0.7050000000000001,225097.5672101336
20,0.2,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,52.48324794631526,0.27061616572002045,0.03459799393822219,0.325,0.6020000000000001,423604.5464804542
20,0.2,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,65.2211033578966,0.2698350775099681,0.03474001983117532,0.40599999999999997,0.675,314434.19534192217
20,0.2,1.0,1.0,deterministic,0.1,oracle,10,91.80772896816521,0.2686208637001954,0.03455787655441721,0.8320000000000001,0.9339999999999999,82391.9216910761
20,0.2,1.0,1.0,deterministic,0.1,state_thompson,10,54.861685621694086,0.2673494827883263,0.03473056915742365,0.356,0.5700000000000001,440728.87029064476
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_dense,10,63.39470250299341,0.26849433413599766,0.034492367693330604,0.396,0.645,337732.5988122452
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,63.08306105715892,0.1906181500143846,0.025302237094332686,0.398,0.653,340771.1346848138
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_offline,10,58.26116908939453,0.1911067221493948,0.025279766227038286,0.371,0.626,386160.31050854165
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,78.67498430984485,0.2719122469971578,0.03564129160584225,0.492,0.751,198553.42078433352
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,71.7611029747714,0.18988967830510484,0.025303551969886318,0.4830000000000001,0.7289999999999999,283421.8594851017
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,74.95820868965367,0.19029877409654178,0.025353153438864184,0.491,0.757,253985.12385365315
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,78.01544070642117,0.09886237107666028,0.007088803598846685,0.506,0.7470000000000001,207272.94409104594
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,62.590017047985555,0.10317878342727697,0.00732484022323633,0.42800000000000005,0.658,347538.96677960764
