policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
oracle,20261648,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9568.934412188004,956893.4412188004,1021271.6920131396,93.69626600856465,64378.25079433923,0.88,0.94,0.3201991696914303,0.016577466454124005,0.023683290999997553,oracle,context_noise_refinement
state_thompson,20262546,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6090.4368859283095,609043.6885928309,948383.759625612,64.21911830641845,339340.07103278104,0.42,0.65,0.31653092935659827,0.016390668710601363,0.025714084000014736,state_thompson,context_noise_refinement
global_ucb_tw,20262382,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5306.99159680204,530699.159680204,883961.2129540956,60.03647579814833,353262.05327389156,0.4,0.61,0.3167857944166195,0.0164237959472647,1.0835430409999844,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262280,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7235.320010697432,723532.0010697432,999540.2814679611,72.38647751215566,276008.28039821796,0.48,0.74,0.315411896407113,0.016374684507709143,1.107395290999989,local_ucb_tw_dense,context_noise_refinement
exp4,20261403,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7864.0230435479,786402.30435479,888155.0566038932,88.543357210825,101752.75224910316,0.62,0.85,0.32135977108556235,0.016604223639225566,1.1188523749999604,exp4_dense,context_noise_refinement
tw,20261253,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4991.331301508635,499133.13015086355,843685.4854533803,59.16104268199411,344552.3553025167,0.43,0.69,0.32379878593657774,0.016766399074173294,1.096166124999968,tw_dense,context_noise_refinement
tm_tw,20261573,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4298.119450889154,429811.9450889154,870533.6842553515,49.37338472509234,440721.73916643613,0.31,0.63,0.3191143107070138,0.016602627322203394,1.111839959000008,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262401,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7681.382137369231,768138.2137369231,945429.4778533628,81.2475421732156,177291.26411643974,0.59,0.81,0.3242374904722407,0.016841565880505057,1.1091938329999493,tm_tw_refined_dense,context_noise_refinement
tw,20261465,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5028.728043789675,502872.8043789675,929906.3937365765,54.07778758873886,427033.58935760905,0.37,0.58,0.2511639012730988,0.013034681604206965,1.0453724169999532,tw_offline,context_noise_refinement
tm_tw,20261785,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4669.793864705152,466979.3864705153,849045.588687609,55.00050794590866,382066.20221709367,0.31,0.63,0.24954705326128448,0.013012158910571872,1.0628446249999115,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262613,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7248.155384740405,724815.5384740405,845755.8208610981,85.7003310643581,120940.28238705767,0.59,0.81,0.24994511361149,0.01302831636113366,1.058924999999931,tm_tw_refined_offline,context_noise_refinement
